geoid,threshold,tot_jobs,BOROUGH,NEIGHBORHOOD,NO_NEIGHBORHOOD,CITY,STATE,COUNTRY,BUILDING_CLASS_CATEGORY,TAX_CLASS_AT_PRESENT,BLOCK,LOT,EASE-MENT,BUILDING_CLASS_AT_PRESENT,House_Apt,Num_House_Apt,ADDRESS,APARTMENT_NUMBER,ZIP_CODE,RESIDENTIAL_UNITS,COMMERCIAL_UNITS,TOTAL_UNITS,LAND_SQUARE_FEET,GROSS_SQUARE_FEET,GROSS_SQfT/ResidentialUnit,GROSS_SqM/RESIDENTIALUNIT,YEAR_BUILT,TAX_CLASS_AT_TIME_OF_SALE,BUILDING_CLASS_AT_TIME_OF_SALE,SALE_PRICE,SALE_DATE,FINANCIAL_YEAR,id,t,PRICE_GRSqFt,PRICE_Gross_SqM,Unit_Price_SqFt,Unit_Price_SqM,103 St (Line 1),103 St (Line ABC),103th St station (Line 456),110th St station (Line 456),116th St station (Line 456),5 Ave Station (Line NRW),57th St (Line F),59 St-Columbus Circle (Line 12),66 St-Lincoln Center (Line 12),68th St station (Line 456),72 St (Line 123),72 St (Line ABC),77th St station (Line 456),79 St (Line 12),81 St (Line ABC),86 St (Line 12),86 St (Line ABC),86th St station (Line 456),96 St (Line 1),96 St (Line ABC),96th St station (Line 456),Cathedral Parkway 110 St (Line 1),Cathedral Parkway 110 St (Line ABC),Grand Central Terminal,Harlem 125th St station (Line 456),Lexington Ave-53th St station (Line NQ),Lexington Ave-59th St station (Line 456),Lexington Ave-63th St station (Line NQ),96th St station (Line NQ),86th St station (Line NQ),72th St station (Line NQ),DistB4_NearestSta,DisAft_NearestSta,Delta_Dis_Nearest,Size_1,Size_2,Size_3,Time_1,Time_2,Time_3,Location_1,Location_2,Location_3,Location_4,Type,AllSta_1000,No_NewSta_1000,NewSta_1000,y,x,Y2014,Y2015,Y2016,Y2017,Y2018,DeltaDistance_Time3,A2014,A2015,A2016,A2017,A2018,Delta_A_2015,Delta_A_2016,Delta_A_2017,Delta_A_2018
3.61E+14,30,1671124,1,UPPER EAST SIDE (79-96)  ,1,manhattan,new york,USA,01  ONE FAMILY DWELLINGS                    ,1,1491,14, ,S1,Apt,1,27 EAST 79TH   STREET                    ,            ,10075,1,1,2,"2,452","5,760",5760,535.12128,1920,1,S1,28000000,4/4/2016,2016,2873,11,4861.11,52324.51,4861.11,52324.51,2682.921796,2239.1922,2015.467179,2584.567702,3064.724154,1555.234079,1865.75137,1866.801889,1669.004927,980.4964013,1657.49849,1159.775119,404.093701,1690.811346,1000.704647,1780.872557,1134.286791,658.8752423,2107.92753,1780.15528,1420.636812,3217.513094,2800.980857,2925.333921,3754.119984,2165.3065,1598.190999,1409.708701,1454.328977,913.2149902,945.637641,404.093701,404.093701,0,0,0,1,0,1,0,1,0,0,0,0,4,2,1,40.7766542,-73.9624098,0,0,1,0,0,0,2074108,2139623,2208189,2268865,2315962,0.031587073,0.032045832,0.02747772,0.020757956
3.61E+14,30,2146492,1,UPPER EAST SIDE (59-79)  ,1,manhattan,new york,USA,01  ONE FAMILY DWELLINGS                    ,1,1404,65, ,A4,House,0, 116 EAST 70TH STREET                      ,            ,10021,1,0,1,"1,992","6,480",6480,602.01144,1901,1, A4 ,31000000,2014/10/29,2014,2177,9,4783.95,51493.97,4783.95,51493.97,3477.739839,3070.068919,2782.370661,3356.423968,3837.602668,850.3403332,1239.049138,1514.28198,1644.249364,151.0092844,1846.133935,1291.698604,610.5608098,2119.807786,1569.030899,2389.017211,1842.43495,1350.334721,2850.481273,2592.828558,2166.396751,4027.467651,3636.374593,2130.619109,4539.336362,1335.412852,774.6537569,573.6923343,2103.174891,1412.221543,478.4549053,151.0092844,151.0092844,0,0,0,1,0,1,0,1,0,0,0,1,5,1,1,40.769243,-73.964083,1,0,0,0,0,0,1095062,1154108,1258240,1310978,1319924,0.053920235,0.090227258,0.041914102,0.006823913
3.61E+14,30,1768824,1,UPPER EAST SIDE (59-79)  ,1,manhattan,new york,USA,01  ONE FAMILY DWELLINGS                    ,1,1389,27, ,A4,House,0, 39 EAST 74TH   STREET                     ,            ,10021,1,0,1,"2,043","6,134",6134,569.867002,1920,1, A4 ,27250000,2014/7/1,2014,2186,9,4442.45,47818.11,4442.45,47818.11,3064.637989,2650.06649,2411.076082,2983.497402,3464.698658,1159.333033,1499.14172,1607.761073,1559.028064,568.4491302,1661.080078,1110.791346,346.2011212,1833.972764,1216.910717,2035.709235,1449.715434,1000.857091,2452.334274,2174.852665,1803.716602,3610.713273,3217.523392,2511.184682,4159.798598,1744.683417,1177.608416,992.6962941,1786.987357,1148.25486,656.2307027,346.2011212,346.2011212,0,0,0,1,0,1,0,1,0,0,0,1,3,1,1,40.7730126,-73.9637627,1,0,0,0,0,0,2051398,2017089,2079662,2131310,2182455,-0.016724692,0.031021437,0.024834805,0.023996978
3.61E+14,30,1652427,1,UPPER WEST SIDE (79-96)  ,2,manhattan,new york,USA,01  ONE FAMILY DWELLINGS                    ,1,1198,34, ,A4,House,0, 247 CENTRAL PARK WEST                     ,            ,10024,1,0,1,"2,217","6,252",6252,580.829556,1900,1, A4 ,25000000,2015/1/30,2015,155,10,3998.72,43041.83,3998.72,43041.83,1766.15601,1553.484488,2019.238228,2486.528531,2915.973085,2191.019773,2340.552189,2004.190675,1461.058255,1924.442726,1158.349166,1033.818415,1497.213921,822.8971496,310.5511566,699.1958318,98.6232734,1351.528896,1083.937915,999.9275914,1641.109437,2342.663303,2153.941801,3571.841045,3510.241818,2965.398609,2414.16525,2304.734926,1897.265501,1731.980739,2018.748273,98.6232734,98.6232734,0,0,0,1,0,1,0,0,1,0,0,1,5,0,0,40.7845142,-73.9702157,0,1,0,0,0,0,1804220,1812279,1869571,1954119,2010866,0.00446675,0.031613234,0.045223209,0.029039685
3.61E+14,30,2042111,1,UPPER EAST SIDE (59-79)  ,1,manhattan,new york,USA,01  ONE FAMILY DWELLINGS                    ,1,1405,12, ,A4,House,0, 127 EAST 70TH   STREET                    ,            ,10021,1,0,1,"4,017","9,408",9408,874.031424,1920,1, A4 ,37000000,2015/1/15,2015,2527,10,3932.82,42332.51,3932.82,42332.51,3454.566661,3038.65858,2735.570611,3309.641079,3790.707346,903.5585037,1292.123519,1560.297274,1675.411892,179.0994992,1866.643753,1310.675357,561.1125258,2126.814081,1563.089242,2383.988715,1826.999738,1302.530464,2833.783965,2565.985698,2118.937256,4001.765707,3602.373099,2178.331377,4493.209393,1377.127896,819.4917566,610.1106251,2052.238398,1359.789879,438.7054099,179.0994992,179.0994992,0,0,0,1,0,1,0,1,0,0,0,1,5,1,1,40.7694988,-73.9635482,0,1,0,0,0,0,1911957,1786717,1854423,1894855,1952569,-0.065503565,0.037894082,0.021803008,0.030458267
3.61E+14,30,1679925,1,UPPER EAST SIDE (59-79)  ,1,manhattan,new york,USA,01  ONE FAMILY DWELLINGS                    ,1,1392,160, ,A4,House,0, 22 EAST 78TH   STREET                     ,            ,10075,1,0,1,"1,550","3,305",3305,307.044415,1910,1, A4 ,12594000,2015/12/18,2015,2600,10,3810.59,41016.81,3810.59,41016.81,2776.968356,2350.434349,2143.022492,2712.391653,3192.615216,1427.247453,1739.479224,1756.829246,1591.171081,867.0091699,1610.207399,1093.100546,372.1639225,1687.526759,1017.895491,1818.458376,1194.041906,774.007776,2183.577711,1880.793208,1546.566101,3317.869858,2916.976003,2798.529661,3882.094563,2043.616078,1475.6458,1293.128259,1570.729367,1001.167135,875.2523884,372.1639225,372.1639225,0,0,0,1,0,1,0,1,0,0,0,1,3,1,1,40.7756853,-73.9632303,0,1,0,0,0,0,1145841,1046238,1029641,1312753,1311613,-0.086925673,-0.015863503,0.274961856,-0.000868404
3.61E+14,30,1484891,1,UPPER EAST SIDE (79-96)  ,1,manhattan,new york,USA,01  ONE FAMILY DWELLINGS                    ,1,1506,62, ,A4,House,0, 16 EAST 95TH STREET                       ,            ,10128,1,0,1,"1,812","5,164",5164,479.751092,1920,1, A4 ,19600000,2014/1/8,2014,513,9,3795.51,40854.46,3795.51,40854.46,1878.005958,1233.190448,803.8370974,1349.42554,1823.497497,2809.964082,3101.049902,2988.862161,2596.28031,2200.701814,2384.225488,2087.113979,1491.234734,2087.240534,1481.366094,1797.159875,1204.680406,790.5026408,1626.581841,1033.350072,395.6016681,2291.44959,1685.913043,4181.334664,2501.509925,3402.706905,2841.526165,2632.161318,734.8135541,1034.912462,2011.818791,395.6016681,395.6016681,0,0,0,1,0,1,0,1,0,0,0,1,4,1,1,40.7866436,-73.9554186,1,0,0,0,0,0,2045608,2099563,2163078,2191949,2249197,0.026376021,0.030251533,0.013347184,0.026117396
3.61E+14,30,2080764,1,UPPER EAST SIDE (59-79)  ,1,manhattan,new york,USA,01  ONE FAMILY DWELLINGS                    ,1,1405,24, ,A4,House,0, 157 EAST 70TH   STREET                    ,            ,10021,1,0,1,"3,615","7,678",7678,713.309234,1920,1, A4 ,26050000,2014/12/17,2014,2190,9,3392.81,36519.87,3392.81,36519.87,3510.161396,3079.748935,2736.072077,3309.844123,3790.266513,950.6826169,1347.971611,1642.763525,1769.860365,169.8544721,1961.265149,1405.042766,558.1204291,2215.764839,1641.994275,2463.190413,1894.855847,1301.359254,2899.208169,2615.925419,2117.491764,4052.977221,3637.813603,2186.037632,4495.362995,1366.688786,821.4126676,591.7860861,2034.164272,1331.651067,348.5480484,169.8544721,169.8544721,0,0,0,1,0,1,0,1,0,0,0,1,5,1,1,40.769094,-73.962553,1,0,0,0,0,0,2056721,2084549,2161698,2194150,2246359,0.013530275,0.037009924,0.015012273,0.023794636
3.61E+14,30,2083426,1,UPPER EAST SIDE (59-79)  ,1,manhattan,new york,USA,01  ONE FAMILY DWELLINGS                    ,1,1405,8, ,A4,House,0, 113-115 EAST 70TH STREET                  ,            ,10021,1,0,1,"3,031","15,500",15500,1439.9965,1910,1, A4 ,51000000,2014/1/21,2014,2165,9,3290.32,35416.7,3290.32,35416.7,3434.081373,3022.832212,2733.04704,3307.090009,3788.292748,892.4946797,1277.315237,1535.036456,1644.677811,195.3152329,1835.127968,1279.176407,562.5751595,2096.47543,1535.683331,2356.379192,1802.940501,1301.362093,2810.303922,2547.41755,2117.269478,3982.608233,3588.279004,2179.77726,4489.856495,1385.030181,824.3518698,622.173429,2056.122767,1367.49816,468.0513446,195.3152329,195.3152329,0,0,0,1,0,1,0,1,0,0,0,1,5,1,1,40.7696567,-73.963859,1,0,0,0,0,0,2270673,2369810,2465043,2488167,2488063,0.043659743,0.040185922,0.009380769,-4.18E-05
3.61E+14,30,2213241,1,UPPER EAST SIDE (59-79)  ,1,manhattan,new york,USA,01  ONE FAMILY DWELLINGS                    ,1,1416,38, ,A4,House,0, 222 EAST 62ND   STREET                    ,            ,10065,1,0,1,"2,008","4,369",4369,405.893207,1905,1, A4 ,13888000,2015/1/29,2015,2591,10,3178.76,34215.85,3178.76,34215.85,4181.111507,3778.029801,3424.655512,3996.802276,4475.389857,714.7055861,1090.91683,1637.078368,2011.276852,560.6479668,2320.402595,1804.714776,1257.436036,2697.085646,2225.933144,3034.009639,2530.66766,1993.594318,3539.567935,3300.641551,2804.966512,4734.093197,4341.549457,1553.219516,5183.942819,689.7408625,295.928334,157.9979793,2688.773216,1970.182843,814.3939778,157.9979793,157.9979793,0,0,0,1,0,1,0,1,0,0,0,1,5,1,1,40.7628727,-73.9643108,0,1,0,0,0,0,1095062,1154108,1258240,1310978,1319924,0.053920235,0.090227258,0.041914102,0.006823913
