V1,geoid,threshold,tot_jobs,layer,path,Boro,Block,Lot,Condominium_Coop,Address,Neighborhood,Neighborhood_No,Building Code,Elevator_Walkup,Total_Units,Year_Built,Age,Gross_SqFt,Unit_Gross_SqFt,Unit_Gross_SqMeter,Estimated_Gross_Income,Gross_Income_per_SqFt,Gross_Income_per_Sqmeter,Estimated_Expense,Expense_per_SqFt,Net_Operating_Income,Full_Market_Value,Market_Value_per_SqFt,Financial_Year,t,id,D_Nearestb4,D_Nearestafter,Delta_Dis_Nearest,Type,Location_1,Location_2,Location_3,Location_4,Y_2016,Y_2017,Y_2018,AllSta_1000,No_NewSta_1000,NewSta_1000,y,x,Income_DelDis_Beta
1105,3.61E+14,30,1833994,NA,NA,1,1229,7503,2016-R1,442 AMSTERDAM AVENUE,UPPER WEST SIDE (79-96),2,R9-CONDOPS,0,12,1920,99,8594,716.1666667,66.53,339979,39.56,425.3763441,95307,11.09,244672,1957000,227.72,2017,2,1127,0,0,0,1,0,1,0,0,0,1,0,6,0,0,40.7847497,-73.9775197,
1168,3.61E+14,30,1625917,NA,NA,1,1245,16,Coop,307 WEST 82 STREET,UPPER WEST SIDE (79-96),2,C6-WALK-UP,0,11,1910,109,7224,656.7272727,61.01,284915,39.44,424.0860215,94056,13.02,190859,1534000,212.35,2018,3,800,0,0,0,0,0,1,0,0,0,0,1,5,0,0,40.786696,-73.9801327,
1105,3.61E+14,30,1892595,NA,NA,1,1229,7503,2016-R1,442 AMSTERDAM AVENUE,UPPER WEST SIDE (79-96),2,R9-CONDOPS,0,12,1920,99,8594,716.1666667,66.53,338861,39.43,423.9784946,94878,11.04,243983,1957000,227.72,2018,3,1127,0,0,0,1,0,1,0,0,0,0,1,6,0,0,40.7847497,-73.9775197,
1243,3.61E+14,30,1995238,NA,NA,1,1236,7503,2075-R1,211 WEST 88 STREET,UPPER WEST SIDE (79-96),2,R2-WALK-UP,0,15,1910,109,10789,719.2666667,66.82,422389,39.15,420.9677419,111774,10.36,310615,2496007,231.35,2018,3,520,0,0,0,1,0,1,0,0,0,0,1,6,0,0,40.7894088,-73.9745318,
1086,3.61E+14,30,1837466,NA,NA,1,1211,42,Coop,118 WEST 81 STREET,UPPER WEST SIDE (79-96),2,C6-WALK-UP,0,11,1900,119,6150,559.0909091,51.94,238374,38.76,416.7741935,96924,15.76,141450,1132000,184.07,2017,2,143,0,0,0,0,0,1,0,0,0,1,0,6,0,0,40.7834628,-73.9755075,
1132,3.61E+14,30,1725378,NA,NA,1,1197,5,Coop,71 WEST 83 STREET,UPPER WEST SIDE (79-96),2,C6-WALK-UP,0,12,1900,119,11000,916.6666667,85.16,426250,38.75,416.6666667,114620,10.42,311630,2493000,226.64,2017,2,1330,0,0,0,0,0,1,0,0,0,1,0,6,0,0,40.7844493,-73.9730166,
1316,3.61E+14,30,1887953,NA,NA,1,1209,146,Coop,36 WEST 96 STREET,UPPER WEST SIDE (79-96),2,C6-WALK-UP,0,11,1910,109,5355,486.8181818,45.23,206328,38.53,414.3010753,45250,8.45,161078,1293000,241.46,2018,3,1004,0,0,0,0,0,1,0,0,0,0,1,6,0,0,40.7919992,-73.9660947,
1170,3.61E+14,30,1562918,NA,NA,1,1245,14,Coop,311 WEST 82 STREET,UPPER WEST SIDE (79-96),2,C6-WALK-UP,0,11,1900,119,7288,662.5454545,61.55,279276,38.32,412.0430108,92558,12.7,186718,1494000,204.99,2017,2,827,0,0,0,0,0,1,0,0,0,1,0,5,0,0,40.7867508,-73.9802474,
1169,3.61E+14,30,1562918,NA,NA,1,1245,15,Coop,309 WEST 82 STREET,UPPER WEST SIDE (79-96),2,C6-WALK-UP,0,11,1910,109,7288,662.5454545,61.55,279276,38.32,412.0430108,92558,12.7,186718,1494000,204.99,2017,2,806,0,0,0,0,0,1,0,0,0,1,0,5,0,0,40.786725,-73.9802015,
1168,3.61E+14,30,1562918,NA,NA,1,1245,16,Coop,307 WEST 82 STREET,UPPER WEST SIDE (79-96),2,C6-WALK-UP,0,11,1910,109,7224,656.7272727,61.01,276824,38.32,412.0430108,91745,12.7,185079,1481000,205.01,2017,2,800,0,0,0,0,0,1,0,0,0,1,0,5,0,0,40.786696,-73.9801327,
1090,3.61E+14,30,1760451,NA,NA,1,1244,85,Coop,316 WEST 82 STREET,UPPER WEST SIDE (79-96),2,C6-WALK-UP,0,11,1910,109,11850,1077.272727,100.08,453618,38.28,411.6129032,91956,7.76,361662,2904000,245.06,2018,3,848,0,0,0,0,0,1,0,0,0,0,1,5,0,0,40.7864897,-73.9805925,
1194,3.61E+14,30,1636804,NA,NA,1,1220,12,Coop,135 WEST 89 STREET,UPPER WEST SIDE (79-96),2,C6-WALK-UP,0,15,1910,109,10930,728.6666667,67.7,416870,38.14,410.1075269,149960,13.72,266910,2143000,196.07,2018,3,231,0,0,0,0,0,1,0,0,0,0,1,6,0,0,40.789358,-73.97239,
1086,3.61E+14,30,1778105,NA,NA,1,1211,42,Coop,118 WEST 81 STREET,UPPER WEST SIDE (79-96),2,C6-WALK-UP,0,11,1900,119,6150,559.0909091,51.94,234254,38.09,409.5698925,92742,15.08,141512,1133000,184.23,2016,1,143,0,0,0,0,0,1,0,0,1,0,0,6,0,0,40.7834628,-73.9755075,
1132,3.61E+14,30,1661780,NA,NA,1,1197,5,Coop,71 WEST 83 STREET,UPPER WEST SIDE (79-96),2,C6-WALK-UP,0,12,1900,119,11000,916.6666667,85.16,418440,38.04,409.0322581,101750,9.25,316690,2534000,230.36,2016,1,1330,0,0,0,0,0,1,0,0,1,0,0,6,0,0,40.7844493,-73.9730166,
1316,3.61E+14,30,1833893,NA,NA,1,1209,146,Coop,36 WEST 96 STREET,UPPER WEST SIDE (79-96),2,C6-WALK-UP,0,11,1910,109,5355,486.8181818,45.23,202044,37.73,405.6989247,64742,12.09,137302,1098000,205.04,2017,2,1004,0,0,0,0,0,1,0,0,0,1,0,6,0,0,40.7919992,-73.9660947,
1125,3.61E+14,30,1517421,NA,NA,1,1214,1,Coop,177 WEST 83 STREET,UPPER WEST SIDE (79-96),2,C6-WALK-UP,0,15,1900,119,11855,790.3333333,73.42,445155,37.55,403.7634409,197623,16.67,247532,1981000,167.1,2016,1,402,0,0,0,0,0,1,0,0,1,0,0,5,0,0,40.7856899,-73.976047,
1170,3.61E+14,30,1503615,NA,NA,1,1245,14,Coop,311 WEST 82 STREET,UPPER WEST SIDE (79-96),2,C6-WALK-UP,0,11,1900,119,7288,662.5454545,61.55,273081,37.47,402.9032258,91756,12.59,181325,1451000,199.09,2016,1,827,0,0,0,0,0,1,0,0,1,0,0,5,0,0,40.7867508,-73.9802474,
