Boro-Block-Lot,Condominium_Coop,Address,Neighborhood,Building Code,Total_Units,Year_Built,Gross_SqFt,Estimated_Gross_Income,Gross_Income_per_SqFt,Gross_Income_per_Sqmeter,Estimated_Expense,Expense_per_SqFt,Net_Operating_Income,Full_Market_Value,Market_Value_per_SqFt,Financial_Year,t,id,D_Nearestb4,D_Nearestafter,Delta_Dis_Nearest,Type,Location_1,Location_2,Location_3,Location_4,Y_2016,Y_2017,Y_2018,AllSta_1000 ,No_NewSta_1000,NewSta_1000,y,x
1-01438-7501,0001-R1,340 EAST 64 STREET,UPPER EAST SIDE (59-79),R4-ELEVATOR,308,1965,"504,238","21,651,980",42.94,461.7204301,"7,175,307",14.23,"14,476,673","115,841,076",229.73,2016,1,955,431.0143007,431.0143007,0,1,1,0,0,0,1,0,0,4,1,1,40.7628042,-73.9603412
1-01438-7501,0001-R1,340 EAST 64 STREET,UPPER EAST SIDE (59-79),R4-ELEVATOR,308,1965,"504,238","23,063,846",45.74,491.827957,"8,501,453",16.86,"14,562,393","116,490,077",231.02,2017,2,955,431.0143007,431.0143007,0,1,1,0,0,0,0,1,0,4,1,1,40.7628042,-73.9603412
1-01438-7501,0001-R1,340 EAST 64 STREET,UPPER EAST SIDE (59-79),R4  -ELEVATOR,308,1965,"504,238","23,144,524",45.9,493.5483871,"7,598,867",15.07,"15,545,657","125,126,065",248.15,2018,3,955,431.0143007,431.0143007,0,1,1,0,0,0,0,0,1,4,1,1,40.7628042,-73.9603412
1-01377-7501,0014-R1,817 5 AVENUE,UPPER EAST SIDE (59-79),R4-ELEVATOR,16,1925,"58,566","2,711,020",46.29,497.7419355,"1,100,455",18.79,"1,610,565","12,887,999",220.06,2016,1,1373,219.0255833,219.0255833,0,1,1,0,0,0,1,0,0,4,0,0,40.7665617,-73.9710243
1-01377-7501,0014-R1,817 5 AVENUE,UPPER EAST SIDE (59-79),R4-ELEVATOR,16,1925,"58,566","2,575,147",43.97,472.7956989,"981,566",16.76,"1,593,581","12,748,002",217.67,2017,2,1373,219.0255833,219.0255833,0,1,1,0,0,0,0,1,0,4,0,0,40.7665617,-73.9710243
1-01377-7501,0014-R1,817 5 AVENUE,UPPER EAST SIDE (59-79),R4  -ELEVATOR,16,1925,"58,566","2,400,620",40.99,440.7526882,"707,477",12.08,"1,693,143","13,628,001",232.69,2018,3,1373,219.0255833,219.0255833,0,1,1,0,0,0,0,0,1,4,0,0,40.7665617,-73.9710243
1-01390-7501,0023-R1,30 EAST 76 STREET,UPPER EAST SIDE (59-79),R4-ELEVATOR,15,1928,"24,277","1,332,079",54.87,590,"375,322",15.46,"956,757","7,656,000",315.36,2016,1,755,315.2295588,315.2295588,0,1,1,0,0,0,1,0,0,4,1,1,40.774136,-73.96342
1-01390-7501,0023-R1,30 EAST 76 STREET,UPPER EAST SIDE (59-79),R4-ELEVATOR,15,1928,"24,277","1,327,709",54.69,588.0645161,"369,981",15.24,"957,728","7,660,999",315.57,2017,2,755,315.2295588,315.2295588,0,1,1,0,0,0,0,1,0,4,1,1,40.774136,-73.96342
1-01390-7501,0023-R1,30 EAST 76 STREET,UPPER EAST SIDE (59-79),R4  -ELEVATOR,15,1928,"24,277","1,346,160",55.45,596.2365591,"320,699",13.21,"1,025,461","8,253,999",339.99,2018,3,755,315.2295588,315.2295588,0,1,1,0,0,0,0,0,1,4,1,1,40.774136,-73.96342
1-01491-7501,0026-R1,900 PARK AVENUE,UPPER EAST SIDE (79-96),R4-ELEVATOR,126,1973,"199,534","9,200,513",46.11,495.8064516,"3,172,591",15.9,"6,027,922","48,238,025",241.75,2016,1,1416,286.9895768,286.9895768,0,1,1,0,0,0,1,0,0,5,2,1,40.7761296,-73.960619
1-01491-7501,0026-R1,900 PARK AVENUE,UPPER EAST SIDE (79-96),R4-ELEVATOR,126,1973,"199,534","10,006,630",50.15,539.2473118,"3,870,960",19.4,"6,135,670","49,084,001",245.99,2017,2,1416,286.9895768,286.9895768,0,1,1,0,0,0,0,1,0,5,2,1,40.7761296,-73.960619
1-01491-7501,0026-R1,900 PARK AVENUE,UPPER EAST SIDE (79-96),R4  -ELEVATOR,126,1973,"199,534","9,577,632",48,516.1290323,"2,659,788",13.33,"6,917,844","55,688,002",279.09,2018,3,1416,286.9895768,286.9895768,0,1,1,0,0,0,0,0,1,5,2,1,40.7761296,-73.960619
1-01505-7501,0028-R1,55 EAST 93 STREET,UPPER EAST SIDE (79-96),R4-ELEVATOR,29,1980,"23,232","999,441",43.02,462.5806452,"345,460",14.87,"653,981","5,233,001",225.25,2016,1,1245,353.8893415,353.8893415,0,1,1,0,0,0,1,0,0,4,2,1,40.7852717,-73.954925
1-01505-7501,0028-R1,55 EAST 93 STREET,UPPER EAST SIDE (79-96),R4-ELEVATOR,29,1980,"23,232","991,077",42.66,458.7096774,"361,258",15.55,"629,819","5,038,002",216.86,2017,2,1245,353.8893415,353.8893415,0,1,1,0,0,0,0,1,0,4,2,1,40.7852717,-73.954925
1-01505-7501,0028-R1,55 EAST 93 STREET,UPPER EAST SIDE (79-96),R4  -ELEVATOR,29,1980,"23,232","998,744",42.99,462.2580645,"240,916",10.37,"757,828","6,099,995",262.57,2018,3,1245,353.8893415,353.8893415,0,1,1,0,0,0,0,0,1,4,2,1,40.7852717,-73.954925
1-01577-7501,0033-R1,520 EAST 81 STREET,UPPER EAST SIDE (79-96),R4-ELEVATOR,164,1964,"103,108","4,046,989",39.25,422.0430108,"1,481,662",14.37,"2,565,327","20,528,003",199.09,2016,1,1201,972.3952356,697.1120338,275.2832018,1,1,0,0,0,1,0,0,3,2,1,40.7720248,-73.9483854
1-01577-7501,0033-R1,520 EAST 81 STREET,UPPER EAST SIDE (79-96),R4-ELEVATOR,164,1964,"103,108","4,151,128",40.26,432.9032258,"1,556,931",15.1,"2,594,197","20,753,986",201.28,2017,2,1201,972.3952356,697.1120338,275.2832018,1,1,0,0,0,0,1,0,3,2,1,40.7720248,-73.9483854
1-01577-7501,0033-R1,520 EAST 81 STREET,UPPER EAST SIDE (79-96),R4  -ELEVATOR,164,1964,"103,108","5,004,862",48.54,521.9354839,"2,055,974",19.94,"2,948,888","23,735,000",230.2,2018,3,1201,972.3952356,697.1120338,275.2832018,1,1,0,0,0,0,0,1,3,2,1,40.7720248,-73.9483854
1-01491-7502,0035-R1,988 5 AVENUE,UPPER EAST SIDE (79-96),R4-ELEVATOR,13,1926,"50,888","2,423,287",47.62,512.0430108,"808,101",15.88,"1,615,186","12,925,000",253.99,2016,1,1455,506.821594,506.821594,0,1,1,0,0,0,1,0,0,3,1,1,40.77744,-73.9630526
1-01491-7502,0035-R1,988 5 AVENUE,UPPER EAST SIDE (79-96),R4-ELEVATOR,13,1926,"50,888","2,442,624",48,516.1290323,"791,308",15.55,"1,651,316","13,209,000",259.57,2017,2,1455,506.821594,506.821594,0,1,1,0,0,0,0,1,0,3,1,1,40.77744,-73.9630526
1-01491-7502,0035-R1,988 5 AVENUE,UPPER EAST SIDE (79-96),R4  -ELEVATOR,13,1926,"50,888","2,391,736",47,505.3763441,"613,709",12.06,"1,778,027","14,311,000",281.23,2018,3,1455,506.821594,506.821594,0,1,1,0,0,0,0,0,1,3,1,1,40.77744,-73.9630526
