Boro-Block-Lot,Condominium_Coop,Address,Neighborhood,Building Code,Total_Units,Year_Built,Gross_SqFt,Estimated_Gross_Income,Gross_Income_per_SqFt,Gross_Income_per_Sqmeter,Estimated_Expense,Expense_per_SqFt,Net_Operating_Income,Full_Market_Value,Market_Value_per_SqFt,Financial_Year,t,id,D_Nearestb4,D_Nearestafter,Delta_Dis_Nearest,Type,Location_1,Location_2,Location_3,Location_4,Y_2016,Y_2017,Y_2018,AllSta_1000 ,No_NewSta_1000,NewSta_1000,y,x
1-01577-7502,0045-R1,525 EAST 80 STREET,UPPER EAST SIDE (79-96),R4-ELEVATOR,68,1981,"137,403","5,714,591",41.59,447.2043011,"1,816,468",13.22,"3,898,123","31,192,002",227.01,2016,1,1208,986.1216622,742.7941232,243.327539,1,1,0,0,0,1,0,0,3,2,1,40.7715939,-73.9483395
1-01577-7502,0045-R1,525 EAST 80 STREET,UPPER EAST SIDE (79-96),R4-ELEVATOR,68,1981,"137,403","5,935,810",43.2,464.516129,"1,898,909",13.82,"4,036,901","32,287,997",234.99,2017,2,1208,986.1216622,742.7941232,243.327539,1,1,0,0,0,0,1,0,3,2,1,40.7715939,-73.9483395
1-01577-7502,0045-R1,525 EAST 80 STREET,UPPER EAST SIDE (79-96),R4  -ELEVATOR,68,1981,"137,403","5,966,038",43.42,466.8817204,"1,860,437",13.54,"4,105,601","33,046,005",240.5,2018,3,1208,986.1216622,742.7941232,243.327539,1,1,0,0,0,0,0,1,3,2,1,40.7715939,-73.9483395
1-01389-7501,0050-R1,23 EAST 74 STREET,UPPER EAST SIDE (59-79),R9-CONDOPS,72,1912,"82,280","3,148,856",38.27,411.5053763,"1,136,287",13.81,"2,012,569","16,104,000",195.72,2016,1,601,420.0904982,420.0904982,0,1,1,0,0,0,1,0,0,3,1,1,40.7734427,-73.9647171
1-01389-7501,0050-R1,23 EAST 74 STREET,UPPER EAST SIDE (59-79),R9-CONDOPS,72,1912,"82,280","3,422,025",41.59,447.2043011,"1,311,543",15.94,"2,110,482","16,883,000",205.19,2017,2,601,420.0904982,420.0904982,0,1,1,0,0,0,0,1,0,3,1,1,40.7734427,-73.9647171
1-01389-7501,0050-R1,23 EAST 74 STREET,UPPER EAST SIDE (59-79),R9  -CONDOPS,72,1912,"82,280","3,695,195",44.91,482.9032258,"1,431,672",17.4,"2,263,523","18,219,000",221.43,2018,3,601,420.0904982,420.0904982,0,1,1,0,0,0,0,0,1,3,1,1,40.7734427,-73.9647171
1-01389-7501,0050-R2,21 EAST 74 STREET,UPPER EAST SIDE (59-79),R4-ELEVATOR,6,1912,"6,345","328,671",51.8,556.9892473,"86,355",13.61,"242,316","1,938,999",305.59,2016,1,507,433.9783983,433.9783983,0,1,1,0,0,0,1,0,0,3,1,1,40.7733807,-73.9648775
1-01389-7501,0050-R2,21 EAST 74 STREET,UPPER EAST SIDE (59-79),R4-ELEVATOR,6,1912,"6,345","354,749",55.91,601.1827957,"108,563",17.11,"246,186","1,969,000",310.32,2017,2,507,433.9783983,433.9783983,0,1,1,0,0,0,0,1,0,3,1,1,40.7733807,-73.9648775
1-01389-7501,0050-R2,21 EAST 74 STREET,UPPER EAST SIDE (59-79),R4  -ELEVATOR,6,1912,"6,345","325,625",51.32,551.827957,"85,975",13.55,"239,650","1,929,000",304.02,2018,3,507,433.9783983,433.9783983,0,1,1,0,0,0,0,0,1,3,1,1,40.7733807,-73.9648775
1-01493-7501,0051-R1,1080 MADISON AVENUE,UPPER EAST SIDE (79-96),R4-ELEVATOR,29,1981,"50,384","2,168,024",43.03,462.688172,"634,838",12.6,"1,533,186","12,268,003",243.49,2016,1,75,490.7039414,490.7039414,0,1,1,0,0,0,1,0,0,3,1,1,40.7779148,-73.9611663
1-01493-7501,0051-R1,1080 MADISON AVENUE,UPPER EAST SIDE (79-96),R4-ELEVATOR,29,1981,"50,384","2,590,745",51.42,552.9032258,"957,296",19,"1,633,449","13,067,003",259.35,2017,2,75,490.7039414,490.7039414,0,1,1,0,0,0,0,1,0,3,1,1,40.7779148,-73.9611663
1-01493-7501,0051-R1,1080 MADISON AVENUE,UPPER EAST SIDE (79-96),R4  -ELEVATOR,29,1981,"50,384","2,228,484",44.23,475.5913978,"478,648",9.5,"1,749,836","14,083,997",279.53,2018,3,75,490.7039414,490.7039414,0,1,1,0,0,0,0,0,1,3,1,1,40.7779148,-73.9611663
1-01395-7501,0087-R1,1010 3 AVENUE,UPPER EAST SIDE (59-79),R9-CONDOPS,166,1963,"165,925","7,856,549",47.35,509.1397849,"2,661,437",16.04,"5,195,112","41,570,000",250.53,2016,1,31,133.777224,133.777224,0,1,1,0,0,0,1,0,0,5,1,1,40.7625094,-73.9663128
1-01395-7501,0087-R1,1010 3 AVENUE,UPPER EAST SIDE (59-79),R9-CONDOPS,166,1963,"165,925","7,997,585",48.2,518.2795699,"2,833,999",17.08,"5,163,586","41,305,000",248.94,2017,2,31,133.777224,133.777224,0,1,1,0,0,0,0,1,0,5,1,1,40.7625094,-73.9663128
1-01395-7501,0087-R1,1010 3 AVENUE,UPPER EAST SIDE (59-79),R9  -CONDOPS,166,1963,"165,925","8,556,752",51.57,554.516129,"2,905,347",17.51,"5,651,405","45,488,000",274.15,2018,3,31,133.777224,133.777224,0,1,1,0,0,0,0,0,1,5,1,1,40.7625094,-73.9663128
1-01390-7502,0094-R1,32 EAST 76 STREET,UPPER EAST SIDE (59-79),R4-ELEVATOR,30,1982,"42,054","2,206,573",52.47,564.1935484,"554,692",13.19,"1,651,881","13,218,011",314.31,2016,1,866,300.9407829,300.9407829,0,1,1,0,0,0,1,0,0,4,1,1,40.774064,-73.963264
1-01390-7502,0094-R1,32 EAST 76 STREET,UPPER EAST SIDE (59-79),R4-ELEVATOR,30,1982,"42,054","2,295,728",54.59,586.9892473,"584,551",13.9,"1,711,177","13,688,008",325.49,2017,2,866,300.9407829,300.9407829,0,1,1,0,0,0,0,1,0,4,1,1,40.774064,-73.963264
1-01390-7502,0094-R1,32 EAST 76 STREET,UPPER EAST SIDE (59-79),R4  -ELEVATOR,30,1982,"42,054","2,260,823",53.76,578.0645161,"554,272",13.18,"1,706,551","13,736,010",326.63,2018,3,866,300.9407829,300.9407829,0,1,1,0,0,0,0,0,1,4,1,1,40.774064,-73.963264
1-01375-7501,0098-R1,40 EAST 61 STREET,UPPER EAST SIDE (59-79),R4-ELEVATOR,36,1928,"78,349","3,626,775",46.29,497.7419355,"1,472,178",18.79,"2,154,597","17,241,000",220.05,2016,1,1019,224.7402498,224.7402498,0,1,1,0,0,0,1,0,0,4,0,0,40.7643042,-73.9698147
1-01375-7501,0098-R1,40 EAST 61 STREET,UPPER EAST SIDE (59-79),R4-ELEVATOR,36,1928,"78,349","3,648,713",46.57,500.7526882,"1,455,724",18.58,"2,192,989","17,542,998",223.91,2017,2,1019,224.7402498,224.7402498,0,1,1,0,0,0,0,1,0,4,0,0,40.7643042,-73.9698147
1-01375-7501,0098-R1,40 EAST 61 STREET,UPPER EAST SIDE (59-79),R4  -ELEVATOR,36,1928,"78,349","3,511,602",44.82,481.9354839,"1,223,028",15.61,"2,288,574","18,420,999",235.11,2018,3,1019,224.7402498,224.7402498,0,1,1,0,0,0,0,0,1,4,0,0,40.7643042,-73.9698147
1-01505-7502,0100-R1,40 EAST 94 STREET,UPPER EAST SIDE (79-96),R4-ELEVATOR,207,1984,"299,069","12,363,512",41.34,444.516129,"3,953,692",13.22,"8,409,820","67,294,998",225.01,2016,1,1023,329.7212305,329.7212305,0,1,1,0,0,0,1,0,0,4,2,1,40.7855606,-73.9546989
1-01505-7502,0100-R1,40 EAST 94 STREET,UPPER EAST SIDE (79-96),R4-ELEVATOR,208,1984,"300,085","14,797,191",49.31,530.2150538,"5,347,515",17.82,"9,449,676","75,591,007",251.9,2017,2,1023,329.7212305,329.7212305,0,1,1,0,0,0,0,1,0,4,2,1,40.7855606,-73.9546989
1-01505-7502,0100-R1,40 EAST 94 STREET,UPPER EAST SIDE (79-96),R4  -ELEVATOR,208,1984,"299,069","14,672,325",49.06,527.5268817,"4,336,501",14.5,"10,335,824","83,191,989",278.17,2018,3,1023,329.7212305,329.7212305,0,1,1,0,0,0,0,0,1,4,2,1,40.7855606,-73.9546989
1-01405-7501,0103-R1,110 EAST 71 STREET,UPPER EAST SIDE (59-79),R4-ELEVATOR,21,1982,"34,906","1,917,038",54.92,590.5376344,"565,826",16.21,"1,351,212","10,812,006",309.75,2016,1,89,237.9248858,237.9248858,0,1,1,0,0,0,1,0,0,6,1,1,40.7700395,-73.9638872
1-01405-7501,0103-R1,110 EAST 71 STREET,UPPER EAST SIDE (59-79),R4-ELEVATOR,21,1982,"34,906","1,923,321",55.1,592.4731183,"678,922",19.45,"1,244,399","9,954,005",285.17,2017,2,89,237.9248858,237.9248858,0,1,1,0,0,0,0,1,0,6,1,1,40.7700395,-73.9638872
1-01405-7501,0103-R1,110 EAST 71 STREET,UPPER EAST SIDE (59-79),R4  -ELEVATOR,21,1982,"34,906","1,877,594",53.79,578.3870968,"511,373",14.65,"1,366,221","10,997,009",315.05,2018,3,89,237.9248858,237.9248858,0,1,1,0,0,0,0,0,1,6,1,1,40.7700395,-73.9638872
1-01388-7501,0104-R1,923 5 AVENUE,UPPER EAST SIDE (59-79),R4-ELEVATOR,97,1950,"153,046","7,084,499",46.29,497.7419355,"2,875,734",18.79,"4,208,765","33,677,989",220.05,2016,1,1423,535.2891851,535.2891851,0,1,1,0,0,0,1,0,0,3,1,1,40.7731887,-73.9660641
1-01388-7501,0104-R1,923 5 AVENUE,UPPER EAST SIDE (59-79),R4-ELEVATOR,97,1950,"153,046","7,428,853",48.54,521.9354839,"2,722,688",17.79,"4,706,165","37,645,996",245.98,2017,2,1423,535.2891851,535.2891851,0,1,1,0,0,0,0,1,0,3,1,1,40.7731887,-73.9660641
1-01388-7501,0104-R1,923 5 AVENUE,UPPER EAST SIDE (59-79),R4  -ELEVATOR,97,1950,"153,046","7,451,810",48.69,523.5483871,"2,454,858",16.04,"4,996,952","40,219,991",262.8,2018,3,1423,535.2891851,535.2891851,0,1,1,0,0,0,0,0,1,3,1,1,40.7731887,-73.9660641
1-01377-7502,0111-R1,26 EAST 63 STREET,UPPER EAST SIDE (59-79),R4-ELEVATOR,68,1901,"85,219","3,655,043",42.89,461.1827957,"1,271,467",14.92,"2,383,576","19,073,012",223.81,2016,1,708,276.1933628,276.1933628,0,1,1,0,0,0,1,0,0,5,1,1,40.7658603,-73.9693615
1-01377-7502,0111-R1,26 EAST 63 STREET,UPPER EAST SIDE (59-79),R4-ELEVATOR,68,1901,"85,219","3,748,784",43.99,473.0107527,"1,326,860",15.57,"2,421,924","19,374,007",227.34,2017,2,708,276.1933628,276.1933628,0,1,1,0,0,0,0,1,0,5,1,1,40.7658603,-73.9693615
1-01377-7502,0111-R1,26 EAST 63 STREET,UPPER EAST SIDE (59-79),R4  -ELEVATOR,68,1901,"85,219","3,591,129",42.14,453.1182796,"1,113,812",13.07,"2,477,317","19,939,999",233.99,2018,3,708,276.1933628,276.1933628,0,1,1,0,0,0,0,0,1,5,1,1,40.7658603,-73.9693615
1-01569-7501,0117-R1,402 EAST 90 STREET,UPPER EAST SIDE (79-96),R4-ELEVATOR,82,1910,"109,500","4,513,590",41.22,443.2258065,"1,876,830",17.14,"2,636,760","21,099,004",192.68,2016,1,1043,728.2540503,417.3039787,310.9500716,1,1,0,0,0,1,0,0,4,2,1,40.7789502,-73.9469577
1-01569-7501,0117-R1,402 EAST 90 STREET,UPPER EAST SIDE (79-96),R4-ELEVATOR,82,1910,"109,500","4,851,945",44.31,476.4516129,"2,174,670",19.86,"2,677,275","21,416,001",195.58,2017,2,1043,728.2540503,417.3039787,310.9500716,1,1,0,0,0,0,1,0,4,2,1,40.7789502,-73.9469577
1-01569-7501,0117-R1,402 EAST 90 STREET,UPPER EAST SIDE (79-96),R4  -ELEVATOR,82,1910,"109,500","4,803,765",43.87,471.7204301,"1,745,430",15.94,"3,058,335","24,616,009",224.8,2018,3,1043,728.2540503,417.3039787,310.9500716,1,1,0,0,0,0,0,1,4,2,1,40.7789502,-73.9469577
1-01464-7501,0134-R1,400 EAST 70 STREET,UPPER EAST SIDE (59-79),R4-ELEVATOR,216,1984,"248,163","12,475,154",50.27,540.5376344,"4,610,869",18.58,"7,864,285","62,929,007",253.58,2016,1,1033,621.699509,315.2752566,306.4242524,1,1,0,0,0,1,0,0,5,1,1,40.7661506,-73.9568006
1-01464-7501,0134-R1,400 EAST 70 STREET,UPPER EAST SIDE (59-79),R4-ELEVATOR,216,1984,"248,163","13,219,643",53.27,572.7956989,"5,079,897",20.47,"8,139,746","65,113,030",262.38,2017,2,1033,621.699509,315.2752566,306.4242524,1,1,0,0,0,0,1,0,5,1,1,40.7661506,-73.9568006
1-01464-7501,0134-R1,400 EAST 70 STREET,UPPER EAST SIDE (59-79),R4  -ELEVATOR,216,1984,"248,163","12,763,023",51.43,553.0107527,"4,188,991",16.88,"8,574,032","69,012,029",278.09,2018,3,1033,621.699509,315.2752566,306.4242524,1,1,0,0,0,0,0,1,5,1,1,40.7661506,-73.9568006
1-01414-7501,0139-R1,220 EAST 60 STREET,UPPER EAST SIDE (59-79),R4-ELEVATOR,137,1965,"102,271","4,833,327",47.26,508.172043,"1,565,769",15.31,"3,267,558","26,146,995",255.66,2016,1,558,249.8404311,249.8404311,0,1,1,0,0,0,1,0,0,5,1,1,40.761661,-73.9653315
1-01414-7501,0139-R1,220 EAST 60 STREET,UPPER EAST SIDE (59-79),R4-ELEVATOR,137,1965,"102,271","4,868,100",47.6,511.827957,"1,557,587",15.23,"3,310,513","26,479,992",258.92,2017,2,558,249.8404311,249.8404311,0,1,1,0,0,0,0,1,0,5,1,1,40.761661,-73.9653315
1-01414-7501,0139-R1,220 EAST 60 STREET,UPPER EAST SIDE (59-79),R4  -ELEVATOR,137,1965,"102,271","5,396,841",52.77,567.4193548,"1,847,014",18.06,"3,549,827","28,571,997",279.38,2018,3,558,249.8404311,249.8404311,0,1,1,0,0,0,0,0,1,5,1,1,40.761661,-73.9653315
1-01404-7501,0151-R1,715 PARK AVENUE,UPPER EAST SIDE (59-79),R4-ELEVATOR,76,1969,"106,669","4,875,840",45.71,491.5053763,"1,361,096",12.76,"3,514,744","28,124,978",263.67,2016,1,1331,187.3140955,187.3140955,0,1,1,0,0,0,1,0,0,6,1,1,40.7695061,-73.9644851
1-01404-7501,0151-R1,715 PARK AVENUE,UPPER EAST SIDE (59-79),R4-ELEVATOR,76,1969,"106,669","5,380,384",50.44,542.3655914,"1,706,704",16,"3,673,680","29,386,971",275.5,2017,2,1331,187.3140955,187.3140955,0,1,1,0,0,0,0,1,0,6,1,1,40.7695061,-73.9644851
1-01404-7501,0151-R1,715 PARK AVENUE,UPPER EAST SIDE (59-79),R4  -ELEVATOR,76,1969,"106,669","5,617,190",52.66,566.2365591,"1,829,373",17.15,"3,787,817","30,487,981",285.82,2018,3,1331,187.3140955,187.3140955,0,1,1,0,0,0,0,0,1,6,1,1,40.7695061,-73.9644851
1-01407-7501,0161-R1,157 EAST 72 STREET,UPPER EAST SIDE (59-79),R4-ELEVATOR,138,1924,"108,820","4,475,767",41.13,442.2580645,"1,471,246",13.52,"3,004,521","24,041,997",220.93,2016,1,310,350.1865406,275.5377664,74.6487742,1,1,0,0,0,1,0,0,5,1,1,40.7702318,-73.9610161
1-01407-7501,0161-R1,157 EAST 72 STREET,UPPER EAST SIDE (59-79),R4-ELEVATOR,138,1924,"108,820","4,668,378",42.9,461.2903226,"1,689,975",15.53,"2,978,403","23,825,000",218.94,2017,2,310,350.1865406,275.5377664,74.6487742,1,1,0,0,0,0,1,0,5,1,1,40.7702318,-73.9610161
1-01407-7501,0161-R1,157 EAST 72 STREET,UPPER EAST SIDE (59-79),R4  -ELEVATOR,138,1924,"108,820","5,383,325",49.47,531.9354839,"1,800,971",16.55,"3,582,354","28,834,001",264.97,2018,3,310,350.1865406,275.5377664,74.6487742,1,1,0,0,0,0,0,1,5,1,1,40.7702318,-73.9610161
1-01498-7501,0164-R1,55 EAST 86 STREET,UPPER EAST SIDE (79-96),R4-ELEVATOR,46,1924,"97,767","5,458,332",55.83,600.3225806,"1,945,563",19.9,"3,512,769","28,108,998",287.51,2016,1,1243,265.7290023,265.7290023,0,1,1,0,0,0,1,0,0,5,2,1,40.7808754,-73.9581853
1-01498-7501,0164-R1,55 EAST 86 STREET,UPPER EAST SIDE (79-96),R4-ELEVATOR,46,1924,"97,767","5,110,281",52.27,562.0430108,"1,531,031",15.66,"3,579,250","28,632,002",292.86,2017,2,1243,265.7290023,265.7290023,0,1,1,0,0,0,0,1,0,5,2,1,40.7808754,-73.9581853
1-01498-7501,0164-R1,55 EAST 86 STREET,UPPER EAST SIDE (79-96),R4  -ELEVATOR,46,1924,"97,767","5,408,470",55.32,594.8387097,"1,439,130",14.72,"3,969,340","31,949,001",326.79,2018,3,1243,265.7290023,265.7290023,0,1,1,0,0,0,0,0,1,5,2,1,40.7808754,-73.9581853
1-01493-7502,0166-R1,22 EAST 82 STREET,UPPER EAST SIDE (79-96),R4-ELEVATOR,9,1900,"18,949","897,804",47.38,509.4623656,"322,891",17.04,"574,913","4,600,000",242.76,2016,1,554,495.9482712,495.9482712,0,1,1,0,0,0,1,0,0,3,1,1,40.778259,-73.9612159
1-01493-7502,0166-R1,22 EAST 82 STREET,UPPER EAST SIDE (79-96),R4-ELEVATOR,9,1900,"18,949","861,801",45.48,489.0322581,"295,794",15.61,"566,007","4,527,998",238.96,2017,2,554,495.9482712,495.9482712,0,1,1,0,0,0,0,1,0,3,1,1,40.778259,-73.9612159
1-01493-7502,0166-R1,22 EAST 82 STREET,UPPER EAST SIDE (79-96),R4  -ELEVATOR,9,1900,"18,949","885,297",46.72,502.3655914,"256,001",13.51,"629,296","5,064,998",267.3,2018,3,554,495.9482712,495.9482712,0,1,1,0,0,0,0,0,1,3,1,1,40.778259,-73.9612159
1-01518-7501,0170-R1,1354 LEXINGTON AVENUE,UPPER EAST SIDE (79-96),R4-ELEVATOR,104,1962,"88,510","3,751,939",42.39,455.8064516,"1,418,815",16.03,"2,333,124","18,668,996",210.93,2016,1,232,293.3071665,293.3071665,0,1,1,0,0,0,1,0,0,4,2,1,40.7819216,-73.9540875
1-01518-7501,0170-R1,1354 LEXINGTON AVENUE,UPPER EAST SIDE (79-96),R4-ELEVATOR,104,1962,"88,510","4,000,652",45.2,486.0215054,"1,622,388",18.33,"2,378,264","19,025,002",214.95,2017,2,232,293.3071665,293.3071665,0,1,1,0,0,0,0,1,0,4,2,1,40.7819216,-73.9540875
1-01518-7501,0170-R1,1354 LEXINGTON AVENUE,UPPER EAST SIDE (79-96),R4  -ELEVATOR,104,1962,"88,510","3,997,997",45.17,485.6989247,"1,473,692",16.65,"2,524,305","20,318,003",229.56,2018,3,232,293.3071665,293.3071665,0,1,1,0,0,0,0,0,1,4,2,1,40.7819216,-73.9540875
1-01493-7503,0180-R1,1082 MADISON AVENUE,UPPER EAST SIDE (79-96),R9-CONDOPS,17,1910,"22,751","1,025,388",45.07,484.6236559,"349,910",15.38,"675,478","5,406,000",237.62,2016,1,76,498.6987393,498.6987393,0,1,1,0,0,0,1,0,0,3,1,1,40.7779904,-73.9611585
1-01493-7503,0180-R1,1082 MADISON AVENUE,UPPER EAST SIDE (79-96),R9-CONDOPS,17,1910,"22,751","1,039,266",45.68,491.1827957,"364,699",16.03,"674,567","5,397,000",237.22,2017,2,76,498.6987393,498.6987393,0,1,1,0,0,0,0,1,0,3,1,1,40.7779904,-73.9611585
1-01493-7503,0180-R1,1082 MADISON AVENUE,UPPER EAST SIDE (79-96),R9  -CONDOPS,17,1910,"22,751","1,056,784",46.45,499.4623656,"374,481",16.46,"682,303","5,492,000",241.4,2018,3,76,498.6987393,498.6987393,0,1,1,0,0,0,0,0,1,3,1,1,40.7779904,-73.9611585
1-01386-7501,0193-R1,50 EAST 72 STREET,UPPER EAST SIDE (59-79),R4-ELEVATOR,48,1928,"92,781","3,908,864",42.13,453.0107527,"1,573,566",16.96,"2,335,298","18,686,997",201.41,2016,1,1158,368.6321313,368.6321313,0,1,1,0,0,0,1,0,0,6,1,1,40.7711516,-73.9646688
1-01386-7501,0193-R1,50 EAST 72 STREET,UPPER EAST SIDE (59-79),R4-ELEVATOR,48,1928,"92,781","3,893,091",41.96,451.1827957,"1,521,608",16.4,"2,371,483","18,969,996",204.46,2017,2,1158,368.6321313,368.6321313,0,1,1,0,0,0,0,1,0,6,1,1,40.7711516,-73.9646688
