blockid,w_c000_16
3.4003E+14,2813
3.4003E+14,2584
3.4003E+14,3982
3.4003E+14,5350
3.4003E+14,5331
3.4003E+14,4581
3.4003E+14,7030
3.4003E+14,7062
3.4003E+14,6821
3.4003E+14,6391
3.4003E+14,3915
3.4003E+14,4391
3.4003E+14,6964
3.4003E+14,8454
3.4003E+14,6820
3.4003E+14,4661
3.4003E+14,5123
3.4003E+14,5456
3.4003E+14,6866
3.4003E+14,5565
3.4003E+14,7394
3.4003E+14,6485
3.4003E+14,6310
3.4003E+14,5856
3.4003E+14,6378
3.4003E+14,5440
3.4003E+14,5162
3.4003E+14,5149
3.4003E+14,5078
3.4003E+14,520
3.4003E+14,655
3.4003E+14,968
3.4003E+14,821
3.4003E+14,1001
3.4003E+14,742
3.4003E+14,2197
3.4003E+14,1606
3.4003E+14,773
3.4003E+14,1332
3.4003E+14,1324
3.4003E+14,2534
3.4003E+14,1098
3.4003E+14,4118
3.4003E+14,4239
3.4003E+14,2326
3.4003E+14,1906
3.4003E+14,4235
3.4003E+14,4354
3.4003E+14,4857
3.4003E+14,4636
3.4003E+14,5420
3.4003E+14,4868
3.4003E+14,2204
3.4003E+14,1382
3.4003E+14,4319
3.4003E+14,4660
3.4003E+14,4572
3.4003E+14,5070
3.4003E+14,1247
3.4003E+14,983
3.4003E+14,412
3.4003E+14,1229
3.4003E+14,1421
3.4003E+14,988
3.4003E+14,1641
3.4003E+14,744
3.4003E+14,3316
3.4003E+14,3843
3.4003E+14,4179
3.4003E+14,3561
3.4003E+14,4318
3.4003E+14,3497
3.4003E+14,2446
3.4003E+14,3485
3.4003E+14,3418
3.4003E+14,3849
3.4003E+14,5571
3.4003E+14,4758
3.4003E+14,1265
3.4003E+14,1329
3.4003E+14,362
3.4003E+14,1620
3.4003E+14,222
3.4003E+14,357
3.4003E+14,351
3.4003E+14,352
3.4003E+14,369
3.4003E+14,379
3.4003E+14,357
3.4003E+14,351
3.4003E+14,1674
3.4003E+14,1760
3.4003E+14,348
3.4003E+14,258
3.4003E+14,513
3.4003E+14,179
3.4003E+14,349
3.4003E+14,179
3.4003E+14,179
3.4003E+14,6
3.4003E+14,35
