blockid,w_c000_16
3.4003E+14,63
3.4003E+14,63
3.4003E+14,783
3.4003E+14,783
3.4003E+14,3935
3.4003E+14,91
3.4003E+14,63
3.4003E+14,35
3.4003E+14,613
3.4003E+14,790
3.4003E+14,232
3.4003E+14,434
3.4003E+14,232
3.4003E+14,369
3.4003E+14,148
3.4003E+14,868
3.4003E+14,35
3.4003E+14,405
3.4003E+14,405
3.4003E+14,6
3.4003E+14,230
3.4003E+14,1041
3.4003E+14,1520
3.4003E+14,1200
3.4003E+14,1518
3.4003E+14,165
3.4003E+14,356
3.4003E+14,223
3.4003E+14,0
3.4003E+14,0
3.4003E+14,0
3.4003E+14,0
3.4003E+14,0
3.4003E+14,0
3.4003E+14,0
3.4003E+14,808
3.4003E+14,1651
3.4003E+14,1477
3.4003E+14,2054
3.4003E+14,1416
3.4003E+14,171
3.4003E+14,165
3.4003E+14,2602
3.4003E+14,2477
3.4003E+14,2339
3.4003E+14,2339
3.4003E+14,2824
3.4003E+14,4220
3.4003E+14,4969
3.4003E+14,4322
3.4003E+14,2734
3.4003E+14,5125
3.4003E+14,4572
3.4003E+14,4472
3.4003E+14,4997
3.4003E+14,5330
3.4003E+14,4966
3.4003E+14,4965
3.4003E+14,4819
3.4003E+14,4774
3.4003E+14,3640
3.4003E+14,5531
3.4003E+14,3563
3.4003E+14,3652
3.4003E+14,5617
3.4003E+14,5726
3.4003E+14,5281
3.4003E+14,5281
3.4003E+14,5562
3.4003E+14,5590
3.4003E+14,5740
3.4003E+14,5775
3.4003E+14,5863
3.4003E+14,5726
3.4003E+14,5060
3.4003E+14,5743
3.4003E+14,5044
3.4003E+14,5770
3.4003E+14,5689
3.4003E+14,5465
3.4003E+14,4690
3.4003E+14,7628
3.4003E+14,4486
3.4003E+14,4136
3.4003E+14,3882
3.4003E+14,3583
3.4003E+14,3941
3.4003E+14,4108
3.4003E+14,5036
3.4003E+14,5376
3.4003E+14,5346
3.4003E+14,5344
3.4003E+14,5265
3.4003E+14,5282
3.4003E+14,5262
3.4003E+14,5413
3.4003E+14,5319
3.4003E+14,5323
3.4003E+14,5429
3.4003E+14,5360
3.4003E+14,5382
3.4003E+14,5349
3.4003E+14,5338
3.4003E+14,5317
3.4003E+14,5386
3.4003E+14,5511
3.4003E+14,5366
3.4003E+14,5393
3.4003E+14,5362
3.4003E+14,5380
3.4003E+14,2065
3.4003E+14,1517
3.4003E+14,1474
3.4003E+14,2899
3.4003E+14,2030
3.4003E+14,2012
3.4003E+14,1732
3.4003E+14,1405
3.4003E+14,1788
3.4003E+14,2115
3.4003E+14,1793
3.4003E+14,2292
3.4003E+14,2123
3.4003E+14,2073
3.4003E+14,2420
3.4003E+14,2415
3.4003E+14,2424
3.4003E+14,1553
3.4003E+14,1553
3.4003E+14,1605
3.4003E+14,2642
3.4003E+14,2891
3.4003E+14,2953
3.4003E+14,2917
3.4003E+14,2459
3.4003E+14,2510
3.4003E+14,3040
3.4003E+14,3037
3.4003E+14,2643
3.4003E+14,2110
3.4003E+14,2886
3.4003E+14,3153
3.4003E+14,1477
3.4003E+14,2491
3.4003E+14,2696
3.4003E+14,1781
3.4003E+14,2979
3.4003E+14,3576
3.4003E+14,3482
3.4003E+14,3226
3.4003E+14,4520
3.4003E+14,4520
3.4003E+14,3227
3.4003E+14,2808
3.4003E+14,2728
3.4003E+14,2674
3.4003E+14,2812
3.4003E+14,2164
3.4003E+14,2627
3.4003E+14,2717
3.4003E+14,2592
3.4003E+14,2717
3.4003E+14,2622
3.4003E+14,3035
3.4003E+14,2913
3.4003E+14,2898
3.4003E+14,2863
3.4003E+14,3494
3.4003E+14,3328
3.4003E+14,3649
3.4003E+14,3491
3.4003E+14,3159
3.4003E+14,3859
3.4003E+14,2774
3.4003E+14,3010
3.4003E+14,1392
3.4003E+14,3460
3.4003E+14,4612
3.4003E+14,4137
3.4003E+14,3842
3.4003E+14,223
3.4003E+14,988
3.4003E+14,3367
3.4003E+14,2010
3.4003E+14,4738
3.4003E+14,4717
3.4003E+14,4061
3.4003E+14,4041
3.4003E+14,3750
3.4003E+14,3420
3.4003E+14,1569
3.4003E+14,594
3.4003E+14,573
3.4003E+14,1333
3.4003E+14,1625
3.4003E+14,1645
3.4003E+14,410
3.4003E+14,1514
3.4003E+14,1448
3.4003E+14,397
3.4003E+14,397
3.4003E+14,839
3.4003E+14,203
3.4003E+14,1369
3.4003E+14,1248
3.4003E+14,550
3.4003E+14,590
3.4003E+14,1062
3.4003E+14,102
3.4003E+14,102
3.4003E+14,5233
3.4003E+14,5208
3.4003E+14,5188
3.4003E+14,3934
3.4003E+14,3779
3.4003E+14,5006
3.4003E+14,5003
3.4003E+14,5188
3.4003E+14,5186
3.4003E+14,4983
3.4003E+14,4022
3.4003E+14,4732
3.4003E+14,4529
3.4003E+14,4504
3.4003E+14,4906
3.4003E+14,4328
3.4003E+14,4613
3.4003E+14,3858
3.4003E+14,2375
3.4003E+14,3991
3.4003E+14,2474
3.4003E+14,3498
3.4003E+14,3607
3.4003E+14,3501
3.4003E+14,3925
3.4003E+14,3625
3.4003E+14,3699
3.4003E+14,3468
3.4003E+14,3348
3.4003E+14,3488
3.4003E+14,3925
3.4003E+14,4241
3.4003E+14,4241
3.4003E+14,6894
3.4003E+14,7086
3.4003E+14,7794
3.4003E+14,7789
3.4003E+14,8688
3.4003E+14,8433
3.4003E+14,7321
3.4003E+14,7645
3.4003E+14,7657
3.4003E+14,8923
3.4003E+14,11350
3.4003E+14,7777
3.4003E+14,9340
3.4003E+14,11478
3.4003E+14,11879
3.4003E+14,9340
3.4003E+14,9988
3.4003E+14,9372
3.4003E+14,9993
3.4003E+14,10968
3.4003E+14,13826
3.4003E+14,13826
3.4003E+14,10256
3.4003E+14,10507
3.4003E+14,13419
3.4003E+14,8977
3.4003E+14,8915
3.4003E+14,11349
3.4003E+14,12248
3.4003E+14,12050
3.4003E+14,14325
3.4003E+14,11061
3.4003E+14,16517
3.4003E+14,18785
3.4003E+14,16612
3.4003E+14,15359
3.4003E+14,19402
3.4003E+14,18341
3.4003E+14,15277
3.4003E+14,20839
3.4003E+14,20268
3.4003E+14,16874
3.4003E+14,20646
3.4003E+14,20568
3.4003E+14,20638
3.4003E+14,21622
3.4003E+14,22089
3.4003E+14,19332
3.4003E+14,21429
3.4003E+14,22638
3.4003E+14,21902
3.4003E+14,19860
3.4003E+14,18939
3.4003E+14,13823
3.4003E+14,13602
3.4003E+14,11719
3.4003E+14,18499
3.4003E+14,17156
3.4003E+14,18301
3.4003E+14,10012
3.4003E+14,10811
3.4003E+14,10768
3.4003E+14,12604
3.4003E+14,12527
3.4003E+14,13918
3.4003E+14,15054
3.4003E+14,15432
3.4003E+14,13283
3.4003E+14,21100
3.4003E+14,16848
3.4003E+14,15509
3.4003E+14,20450
3.4003E+14,20576
3.4003E+14,18071
3.4003E+14,18017
3.4003E+14,24945
3.4003E+14,19875
3.4003E+14,18946
3.4003E+14,25179
3.4003E+14,22023
3.4003E+14,16733
3.4003E+14,18097
3.4003E+14,15590
3.4003E+14,16024
3.4003E+14,20515
3.4003E+14,18668
3.4003E+14,19133
3.4003E+14,21874
3.4003E+14,23387
3.4003E+14,27678
3.4003E+14,25374
3.4003E+14,19688
3.4003E+14,22208
3.4003E+14,23771
3.4003E+14,21257
3.4003E+14,25017
3.4003E+14,25733
3.4003E+14,31105
3.4003E+14,31127
3.4003E+14,20666
3.4003E+14,24784
3.4003E+14,23335
3.4003E+14,23502
3.4003E+14,23300
3.4003E+14,23362
3.4003E+14,23362
3.4003E+14,27900
3.4003E+14,24314
3.4003E+14,21744
3.4003E+14,22647
3.4003E+14,23555
3.4003E+14,23772
3.4003E+14,25000
3.4003E+14,28564
3.4003E+14,25166
3.4003E+14,22464
3.4003E+14,21469
3.4003E+14,25373
3.4003E+14,26014
3.4003E+14,26959
3.4003E+14,22220
3.4003E+14,27133
3.4003E+14,27617
3.4003E+14,26469
3.4003E+14,24888
3.4003E+14,27312
3.4003E+14,27983
3.4003E+14,33644
3.4003E+14,27923
3.4003E+14,34030
3.4003E+14,21106
3.4003E+14,30165
3.4003E+14,26959
3.4003E+14,25938
3.4003E+14,25643
3.4003E+14,27095
3.4003E+14,25290
3.4003E+14,24915
3.4003E+14,27657
3.4003E+14,33160
3.4003E+14,26255
3.4003E+14,26257
3.4003E+14,23520
3.4003E+14,12901
3.4003E+14,11803
3.4003E+14,9118
3.4003E+14,10507
3.4003E+14,8421
3.4003E+14,11880
3.4003E+14,7530
3.4003E+14,8586
3.4003E+14,12710
3.4003E+14,14249
3.4003E+14,12776
3.4003E+14,12447
3.4003E+14,14842
3.4003E+14,12971
3.4003E+14,9330
3.4003E+14,9043
3.4003E+14,9043
3.4003E+14,8524
3.4003E+14,7462
3.4003E+14,6650
3.4003E+14,6385
3.4003E+14,6461
3.4003E+14,6362
3.4003E+14,6687
3.4003E+14,6956
3.4003E+14,7450
3.4003E+14,7885
3.4003E+14,8258
3.4003E+14,8661
3.4003E+14,9250
3.4003E+14,9386
3.4003E+14,9907
3.4003E+14,20871
3.4003E+14,18585
3.4003E+14,14628
3.4003E+14,12949
3.4003E+14,11481
3.4003E+14,13327
3.4003E+14,12624
3.4003E+14,20808
3.4003E+14,18780
3.4003E+14,10822
3.4003E+14,11212
3.4003E+14,12101
3.4003E+14,18634
3.4003E+14,20377
3.4003E+14,19421
3.4003E+14,17383
3.4003E+14,14536
3.4003E+14,19748
3.4003E+14,16809
3.4003E+14,16892
3.4003E+14,16246
3.4003E+14,17874
3.4003E+14,20840
3.4003E+14,20300
3.4003E+14,18729
3.4003E+14,14999
3.4003E+14,14625
3.4003E+14,13220
3.4003E+14,12001
3.4003E+14,9247
3.4003E+14,10383
3.4003E+14,12886
3.4003E+14,15005
3.4003E+14,16614
3.4003E+14,17874
3.4003E+14,14576
3.4003E+14,12845
3.4003E+14,10852
3.4003E+14,13258
3.4003E+14,8495
3.4003E+14,9077
3.4003E+14,8056
3.4003E+14,4187
3.4003E+14,5877
3.4003E+14,6344
3.4003E+14,5092
3.4003E+14,5101
3.4003E+14,5662
3.4003E+14,6147
3.4003E+14,5871
3.4003E+14,5820
3.4003E+14,5748
3.4003E+14,5748
3.4003E+14,8198
3.4003E+14,10711
3.4003E+14,9164
3.4003E+14,8728
3.4003E+14,7461
3.4003E+14,6557
3.4003E+14,7758
3.4003E+14,9260
3.4003E+14,8583
3.4003E+14,6782
3.4003E+14,6041
3.4003E+14,6252
3.4003E+14,9189
3.4003E+14,7571
3.4003E+14,8379
3.4003E+14,6154
3.4003E+14,6786
3.4003E+14,8451
3.4003E+14,7520
3.4003E+14,5239
3.4003E+14,3673
3.4003E+14,4980
3.4003E+14,5719
3.4003E+14,5757
3.4003E+14,4626
3.4003E+14,6649
3.4003E+14,5261
3.4003E+14,5449
3.4003E+14,4786
3.4003E+14,9051
3.4003E+14,5488
3.4003E+14,4894
3.4003E+14,5516
3.4003E+14,6379
3.4003E+14,9528
3.4003E+14,11837
3.4003E+14,11653
3.4003E+14,11228
3.4003E+14,12138
3.4003E+14,9673
3.4003E+14,9558
3.4003E+14,11213
3.4003E+14,13629
3.4003E+14,14353
3.4003E+14,11456
3.4003E+14,10722
3.4003E+14,10024
3.4003E+14,9827
3.4003E+14,8304
3.4003E+14,6002
3.4003E+14,6975
3.4003E+14,7943
3.4003E+14,8519
3.4003E+14,6838
3.4003E+14,6634
3.4003E+14,6634
3.4003E+14,7060
3.4003E+14,7467
3.4003E+14,6590
3.4003E+14,9225
3.4003E+14,16053
3.4003E+14,16390
3.4003E+14,16470
3.4003E+14,7457
3.4003E+14,8266
3.4003E+14,8440
3.4003E+14,23106
3.4003E+14,19982
3.4003E+14,14994
3.4003E+14,11113
3.4003E+14,11079
3.4003E+14,8458
3.4003E+14,7136
3.4003E+14,19270
3.4003E+14,14529
3.4003E+14,18815
3.4003E+14,19315
3.4003E+14,17356
3.4003E+14,17583
3.4003E+14,16216
3.4003E+14,16300
3.4003E+14,14480
3.4003E+14,16490
3.4003E+14,13067
3.4003E+14,12051
3.4003E+14,13726
3.4003E+14,14776
3.4003E+14,11795
3.4003E+14,12459
3.4003E+14,11495
3.4003E+14,11486
3.4003E+14,11278
3.4003E+14,11634
3.4003E+14,13094
3.4003E+14,13507
3.4003E+14,13552
3.4003E+14,12210
3.4003E+14,10191
3.4003E+14,11127
3.4003E+14,13148
3.4003E+14,11929
3.4003E+14,11662
3.4003E+14,14318
3.4003E+14,13121
3.4003E+14,12001
3.4003E+14,12269
3.4003E+14,10496
3.4003E+14,8881
3.4003E+14,11400
3.4003E+14,9885
3.4003E+14,7844
3.4003E+14,9531
3.4003E+14,9075
3.4003E+14,7687
3.4003E+14,8702
3.4003E+14,6257
3.4003E+14,6937
3.4003E+14,6684
3.4003E+14,6108
3.4003E+14,6599
3.4003E+14,12233
3.4003E+14,19810
3.4003E+14,23479
3.4003E+14,15203
3.4003E+14,12144
3.4003E+14,11121
3.4003E+14,13051
3.4003E+14,14215
3.4003E+14,17567
3.4003E+14,18472
3.4003E+14,20224
3.4003E+14,21970
3.4003E+14,21970
3.4003E+14,12144
3.4003E+14,10793
3.4003E+14,10110
3.4003E+14,12653
3.4003E+14,19003
3.4003E+14,22804
3.4003E+14,35172
3.4003E+14,37672
3.4003E+14,41806
3.4003E+14,44085
3.4003E+14,47182
3.4003E+14,48438
3.4003E+14,44938
3.4003E+14,43324
3.4003E+14,59291
3.4003E+14,62065
3.4003E+14,51388
3.4003E+14,40413
3.4003E+14,44709
3.4003E+14,46218
3.4003E+14,45862
3.4003E+14,57024
3.4003E+14,55296
3.4003E+14,48697
3.4003E+14,63905
3.4003E+14,56728
3.4003E+14,55739
3.4003E+14,50044
3.4003E+14,49751
3.4003E+14,35163
3.4003E+14,29431
3.4003E+14,42465
3.4003E+14,42449
3.4003E+14,38587
3.4003E+14,35264
3.4003E+14,40577
3.4003E+14,44922
3.4003E+14,52432
3.4003E+14,45279
3.4003E+14,41767
3.4003E+14,38968
3.4003E+14,36820
3.4003E+14,41612
3.4003E+14,44792
3.4003E+14,48558
3.4003E+14,50682
3.4003E+14,46346
3.4003E+14,47043
3.4003E+14,45010
3.4003E+14,46199
3.4003E+14,36837
3.4003E+14,36167
3.4003E+14,37169
3.4003E+14,39669
3.4003E+14,37516
3.4003E+14,33768
3.4003E+14,32577
3.4003E+14,34293
3.4003E+14,37713
3.4003E+14,34620
3.4003E+14,38574
3.4003E+14,36488
3.4003E+14,32626
3.4003E+14,32424
3.4003E+14,34088
3.4003E+14,33296
3.4003E+14,34046
3.4003E+14,35863
3.4003E+14,32480
3.4003E+14,33341
3.4003E+14,33169
3.4003E+14,34761
3.4003E+14,32009
3.4003E+14,38741
3.4003E+14,33829
3.4003E+14,30180
3.4003E+14,35672
3.4003E+14,35672
3.4003E+14,33726
3.4003E+14,32327
3.4003E+14,34767
3.4003E+14,31108
3.4003E+14,29753
3.4003E+14,30763
3.4003E+14,39421
3.4003E+14,39104
3.4003E+14,45192
3.4003E+14,44975
3.4003E+14,44287
3.4003E+14,42549
3.4003E+14,41835
3.4003E+14,41850
3.4003E+14,37068
3.4003E+14,37857
3.4003E+14,37552
3.4003E+14,39230
3.4003E+14,41772
3.4003E+14,40161
3.4003E+14,41181
3.4003E+14,33268
3.4003E+14,38734
3.4003E+14,41700
3.4003E+14,34941
3.4003E+14,35530
3.4003E+14,36750
3.4003E+14,31637
3.4003E+14,22129
3.4003E+14,31730
3.4003E+14,33331
3.4003E+14,32265
3.4003E+14,52549
3.4003E+14,48334
3.4003E+14,32791
3.4003E+14,40204
3.4003E+14,29197
3.4003E+14,26225
3.4003E+14,43389
3.4003E+14,22790
3.4003E+14,17259
3.4003E+14,17594
3.4003E+14,32857
3.4003E+14,23405
3.4003E+14,53648
3.4003E+14,53683
3.4003E+14,34770
3.4003E+14,47689
3.4003E+14,43838
3.4003E+14,43806
3.4003E+14,43806
3.4003E+14,59684
3.4003E+14,55217
3.4003E+14,61345
3.4003E+14,49696
3.4003E+14,47670
3.4003E+14,44292
3.4003E+14,50146
3.4003E+14,61221
3.4003E+14,73645
3.4003E+14,71914
3.4003E+14,63276
3.4003E+14,56828
3.4003E+14,76803
3.4003E+14,59821
3.4003E+14,52882
3.4003E+14,54451
3.4003E+14,54451
3.4003E+14,60399
3.4003E+14,68952
3.4003E+14,76812
3.4003E+14,56245
3.4003E+14,53168
3.4003E+14,54766
3.4003E+14,63251
3.4003E+14,67644
3.4003E+14,67415
3.4003E+14,75951
3.4003E+14,71325
3.4003E+14,64046
3.4003E+14,63290
3.4003E+14,65082
3.4003E+14,75215
3.4003E+14,65470
3.4003E+14,65474
3.4003E+14,65474
3.4003E+14,58497
3.4003E+14,57346
3.4003E+14,62422
3.4003E+14,65587
3.4003E+14,70608
3.4003E+14,66803
3.4003E+14,63312
3.4003E+14,41166
3.4003E+14,45902
3.4003E+14,49598
3.4003E+14,76001
3.4003E+14,68611
3.4003E+14,59211
3.4003E+14,50401
3.4003E+14,47083
3.4003E+14,47083
3.4003E+14,41433
3.4003E+14,54174
3.4003E+14,60480
3.4003E+14,61405
3.4003E+14,60657
3.4003E+14,59277
3.4003E+14,61951
3.4003E+14,64101
3.4003E+14,56398
3.4003E+14,51910
3.4003E+14,50408
3.4003E+14,57581
3.4003E+14,32790
3.4003E+14,30980
3.4003E+14,35333
3.4003E+14,38611
3.4003E+14,18954
3.4003E+14,22840
3.4003E+14,26268
3.4003E+14,19822
3.4003E+14,28810
3.4003E+14,39315
3.4003E+14,89882
3.4003E+14,52755
3.4003E+14,95251
3.4003E+14,47479
3.4003E+14,45557
3.4003E+14,18403
3.4003E+14,23486
3.4003E+14,49183
3.4003E+14,49066
3.4003E+14,21150
3.4003E+14,0
3.4003E+14,41
3.4003E+14,224488
3.4003E+14,276146
3.4003E+14,41
3.4003E+14,274424
3.4003E+14,288237
3.4003E+14,51888
3.4003E+14,230332
3.4003E+14,187310
3.4003E+14,192308
3.4003E+14,168333
3.4003E+14,224488
3.4003E+14,29304
3.4003E+14,41
3.4003E+14,0
3.4003E+14,81
3.4003E+14,42
3.4003E+14,54
3.4003E+14,41
3.4003E+14,0
3.4003E+14,354
3.4003E+14,58123
3.4003E+14,43940
3.4003E+14,32305
3.4003E+14,59481
3.4003E+14,88570
3.4003E+14,29854
3.4003E+14,39056
3.4003E+14,41444
3.4003E+14,43087
3.4003E+14,35652
3.4003E+14,44425
3.4003E+14,40382
3.4003E+14,40382
3.4003E+14,39967
3.4003E+14,41090
3.4003E+14,41090
3.4003E+14,45789
3.4003E+14,50707
3.4003E+14,35392
3.4003E+14,35392
3.4003E+14,20801
3.4003E+14,23193
3.4003E+14,23193
3.4003E+14,23073
3.4003E+14,23354
3.4003E+14,33617
3.4003E+14,37000
3.4003E+14,22364
3.4003E+14,22205
3.4003E+14,32111
3.4003E+14,33961
3.4003E+14,32626
3.4003E+14,26439
3.4003E+14,29557
3.4003E+14,37119
3.4003E+14,27260
3.4003E+14,22113
3.4003E+14,26306
3.4003E+14,26149
3.4003E+14,28722
3.4003E+14,26994
3.4003E+14,25605
3.4003E+14,28043
3.4003E+14,27776
3.4003E+14,28542
3.4003E+14,27346
3.4003E+14,29971
3.4003E+14,31904
3.4003E+14,31859
3.4003E+14,32474
3.4003E+14,36329
3.4003E+14,35997
3.4003E+14,35138
3.4003E+14,27327
3.4003E+14,24856
3.4003E+14,25261
3.4003E+14,24790
3.4003E+14,25745
3.4003E+14,29036
3.4003E+14,40014
3.4003E+14,34699
3.4003E+14,26456
3.4003E+14,25331
3.4003E+14,25845
3.4003E+14,27108
3.4003E+14,27401
3.4003E+14,29218
3.4003E+14,37354
3.4003E+14,27024
3.4003E+14,26694
3.4003E+14,26694
3.4003E+14,25901
3.4003E+14,24906
3.4003E+14,32182
3.4003E+14,35110
3.4003E+14,36338
3.4003E+14,37069
3.4003E+14,34607
3.4003E+14,34372
3.4003E+14,38423
3.4003E+14,31060
3.4003E+14,28948
3.4003E+14,30778
3.4003E+14,33597
3.4003E+14,40438
3.4003E+14,37853
3.4003E+14,32393
3.4003E+14,38771
3.4003E+14,35642
3.4003E+14,40481
3.4003E+14,41622
3.4003E+14,36324
3.4003E+14,43422
3.4003E+14,43002
3.4003E+14,39299
3.4003E+14,35215
3.4003E+14,29335
3.4003E+14,34944
3.4003E+14,29010
3.4003E+14,26446
3.4003E+14,26446
3.4003E+14,26305
3.4003E+14,27828
3.4003E+14,26897
3.4003E+14,28255
3.4003E+14,32783
3.4003E+14,20632
3.4003E+14,22283
3.4003E+14,22528
3.4003E+14,21012
3.4003E+14,20685
3.4003E+14,21774
3.4003E+14,19606
3.4003E+14,20426
3.4003E+14,22228
3.4003E+14,26601
3.4003E+14,26550
3.4003E+14,26588
3.4003E+14,29344
3.4003E+14,29682
3.4003E+14,29083
3.4003E+14,30515
3.4003E+14,30043
3.4003E+14,29691
3.4003E+14,31280
3.4003E+14,28203
3.4003E+14,17508
3.4003E+14,24206
3.4003E+14,25176
3.4003E+14,24090
3.4003E+14,27270
3.4003E+14,20998
3.4003E+14,25785
3.4003E+14,22344
3.4003E+14,21535
3.4003E+14,29016
3.4003E+14,26368
3.4003E+14,22786
3.4003E+14,24119
3.4003E+14,21631
3.4003E+14,21151
3.4003E+14,38257
3.4003E+14,36995
3.4003E+14,40306
3.4003E+14,38015
3.4003E+14,37198
3.4003E+14,40425
3.4003E+14,36250
3.4003E+14,35791
3.4003E+14,37517
3.4003E+14,36607
3.4003E+14,36197
3.4003E+14,35664
3.4003E+14,36161
3.4003E+14,37664
3.4003E+14,38122
3.4003E+14,37683
3.4003E+14,39640
3.4003E+14,40048
3.4003E+14,39391
3.4003E+14,38457
3.4003E+14,41441
3.4003E+14,41765
3.4003E+14,39682
3.4003E+14,39107
3.4003E+14,39211
3.4003E+14,39880
3.4003E+14,33827
3.4003E+14,32155
3.4003E+14,30589
3.4003E+14,37910
3.4003E+14,38337
3.4003E+14,39643
3.4003E+14,38569
3.4003E+14,36827
3.4003E+14,38616
3.4003E+14,18569
3.4003E+14,41113
3.4003E+14,34844
3.4003E+14,30653
3.4003E+14,35915
3.4003E+14,33654
3.4003E+14,32270
3.4003E+14,41405
3.4003E+14,3642
3.4003E+14,3299
3.4003E+14,6698
3.4003E+14,6419
3.4003E+14,5379
3.4003E+14,6844
3.4003E+14,6767
3.4003E+14,7443
3.4003E+14,6752
3.4003E+14,5407
3.4003E+14,5407
3.4003E+14,4657
3.4003E+14,4297
3.4003E+14,4555
3.4003E+14,6120
3.4003E+14,6465
3.4003E+14,6765
3.4003E+14,7084
3.4003E+14,6917
3.4003E+14,7484
3.4003E+14,4722
3.4003E+14,6552
3.4003E+14,5247
3.4003E+14,3344
3.4003E+14,6088
3.4003E+14,1980
3.4003E+14,6265
3.4003E+14,5947
3.4003E+14,5425
3.4003E+14,6102
3.4003E+14,5648
3.4003E+14,5996
3.4003E+14,5428
3.4003E+14,4383
3.4003E+14,4090
3.4003E+14,6719
3.4003E+14,6457
3.4003E+14,6144
3.4003E+14,5915
3.4003E+14,5088
3.4003E+14,5297
3.4003E+14,4131
3.4003E+14,2581
3.4003E+14,2996
3.4003E+14,3342
3.4003E+14,2707
3.4003E+14,3585
3.4003E+14,2961
3.4003E+14,3341
3.4003E+14,4008
3.4003E+14,3604
3.4003E+14,3235
3.4003E+14,2980
3.4003E+14,2767
3.4003E+14,3068
3.4003E+14,2858
3.4003E+14,2761
3.4003E+14,3003
3.4003E+14,3014
3.4003E+14,3652
3.4003E+14,3748
3.4003E+14,3580
3.4003E+14,3231
3.4003E+14,3917
3.4003E+14,3937
3.4003E+14,3988
3.4003E+14,3912
3.4003E+14,3780
3.4003E+14,3974
3.4003E+14,3474
3.4003E+14,3313
3.4003E+14,3583
3.4003E+14,3050
3.4003E+14,3411
3.4003E+14,3434
3.4003E+14,3143
3.4003E+14,3459
3.4003E+14,3483
3.4003E+14,4051
3.4003E+14,4388
3.4003E+14,3164
3.4003E+14,3200
3.4003E+14,3013
3.4003E+14,4053
3.4003E+14,3267
3.4003E+14,2996
3.4003E+14,1521
3.4003E+14,1380
3.4003E+14,1875
3.4003E+14,1844
3.4003E+14,1437
3.4003E+14,790
3.4003E+14,1349
3.4003E+14,1150
3.4003E+14,1453
3.4003E+14,1815
3.4003E+14,1297
3.4003E+14,668
3.4003E+14,671
3.4003E+14,1468
3.4003E+14,2041
3.4003E+14,2512
3.4003E+14,2010
3.4003E+14,1149
3.4003E+14,2092
3.4003E+14,2298
3.4003E+14,1153
3.4003E+14,2018
3.4003E+14,1714
3.4003E+14,2595
3.4003E+14,2940
3.4003E+14,2652
3.4003E+14,2574
3.4003E+14,1631
3.4003E+14,1523
3.4003E+14,1098
3.4003E+14,941
3.4003E+14,1749
3.4003E+14,2429
3.4003E+14,1887
3.4003E+14,2017
3.4003E+14,2794
3.4003E+14,1507
3.4003E+14,1642
3.4003E+14,2086
3.4003E+14,1780
3.4003E+14,2782
3.4003E+14,1642
3.4003E+14,3207
3.4003E+14,2893
3.4003E+14,3165
3.4003E+14,3138
3.4003E+14,2054
3.4003E+14,2698
3.4003E+14,3138
3.4003E+14,3142
3.4003E+14,3196
3.4003E+14,3009
3.4003E+14,2998
3.4003E+14,3159
3.4003E+14,3131
3.4003E+14,3167
3.4003E+14,3153
3.4003E+14,3160
3.4003E+14,3134
3.4003E+14,3158
3.4003E+14,3120
3.4003E+14,3165
3.4003E+14,3181
3.4003E+14,3149
3.4003E+14,3156
3.4003E+14,3154
3.4003E+14,3145
3.4003E+14,3185
3.4003E+14,3189
